Category: All categories

Week,covid: (Worldwide),hospital: (Worldwide),Vaccine: (Worldwide),Lockdown: (Worldwide)
2019-05-26,<1,12,3,<1
2019-06-02,<1,13,3,<1
2019-06-09,0,13,3,<1
2019-06-16,<1,13,3,<1
2019-06-23,<1,13,3,<1
2019-06-30,0,13,2,<1
2019-07-07,<1,13,2,<1
2019-07-14,0,14,2,<1
2019-07-21,<1,13,3,<1
2019-07-28,<1,14,3,<1
2019-08-04,0,14,3,<1
2019-08-11,<1,13,3,<1
2019-08-18,<1,14,3,<1
2019-08-25,<1,14,3,<1
2019-09-01,<1,13,3,<1
2019-09-08,0,14,3,<1
2019-09-15,0,14,3,<1
2019-09-22,0,13,3,<1
2019-09-29,0,13,3,<1
2019-10-06,<1,13,3,<1
2019-10-13,0,13,3,<1
2019-10-20,<1,13,3,<1
2019-10-27,0,12,3,<1
2019-11-03,<1,13,3,<1
2019-11-10,<1,13,3,<1
2019-11-17,<1,13,3,<1
2019-11-24,<1,12,3,<1
2019-12-01,<1,12,3,<1
2019-12-08,0,12,3,<1
2019-12-15,0,12,2,<1
2019-12-22,0,11,2,<1
2019-12-29,<1,12,2,<1
2020-01-05,0,13,3,<1
2020-01-12,<1,13,3,<1
2020-01-19,<1,13,3,<1
2020-01-26,<1,15,3,<1
2020-02-02,<1,14,3,<1
2020-02-09,1,14,3,<1
2020-02-16,1,13,3,<1
2020-02-23,4,13,5,<1
2020-03-01,8,14,5,<1
2020-03-08,32,15,7,4
2020-03-15,77,15,11,14
2020-03-22,100,14,10,20
2020-03-29,95,14,8,12
2020-04-05,86,12,7,12
2020-04-12,81,12,7,11
2020-04-19,69,11,7,9
2020-04-26,68,11,7,12
2020-05-03,65,11,7,10
2020-05-10,64,11,7,10
2020-05-17,59,11,7,9
2020-05-24,54,11,5,8
2020-05-31,50,12,5,5
2020-06-07,51,12,5,5
2020-06-14,52,12,5,4
2020-06-21,59,12,6,4
2020-06-28,62,12,6,6
2020-07-05,61,13,6,5
2020-07-12,69,13,8,5
2020-07-19,61,12,8,3
2020-07-26,65,12,7,4
2020-08-02,60,12,7,3
2020-08-09,56,12,10,3
2020-08-16,52,12,7,3
2020-08-23,50,12,6,2
2020-08-30,50,12,7,2
2020-09-06,51,12,7,3
2020-09-13,51,13,7,3
2020-09-20,52,12,7,4
2020-09-27,54,13,6,3
2020-10-04,60,13,7,3
2020-10-11,59,12,7,5
2020-10-18,63,12,8,4
2020-10-25,70,12,7,8
2020-11-01,62,11,6,9
2020-11-08,72,12,12,4
2020-11-15,76,12,10,6
2020-11-22,64,11,9,5
2020-11-29,66,12,11,3
2020-12-06,70,12,16,3
2020-12-13,73,12,18,5
2020-12-20,73,11,17,5
2020-12-27,74,11,21,4
2021-01-03,82,13,25,9
2021-01-10,82,13,33,5
2021-01-17,74,13,34,3
2021-01-24,70,13,30,3
2021-01-31,65,13,32,3
2021-02-07,60,13,32,3
2021-02-14,60,13,32,4
2021-02-21,65,13,35,5
2021-02-28,68,13,43,4
2021-03-07,70,14,49,4
2021-03-14,70,14,50,6
2021-03-21,76,14,50,6
2021-03-28,82,13,53,5
2021-04-04,81,14,56,5
2021-04-11,74,15,50,6
2021-04-18,75,15,48,6
2021-04-25,85,16,55,6
2021-05-02,77,16,54,6
2021-05-09,71,15,59,5
2021-05-16,69,14,58,4
2021-05-23,70,14,59,5
